Sentiment,Student Reviews & Comments,Challenges & Issues,Source,Language,Sentiment Target Class,
Negative,The university should'nt play with the careers of the students. Majority of the students are from rural areas where there is'nt internet facility. It's the resposibility of the state to provide the resources for online classes to the students. We reject online classes until resources are provided to us.,"# Internet Issue
#Proper Resources Issue",Facebook,English,1,
Negative,Examinations decision is a ridiculous decision degrading reputation of the university,#Examination issue due to poor  internet connectivity ,Facebook,English,1,
Negative,No gaining in online classes,,Facebook,English,1,
Negative,Not reliable at all,,Facebook,English,1,
Negative,Nonsense,,Facebook,English,1,
Negative,"We're not ready for the exams, okay.",#Examination issue due to poor  internet connectivity ,Facebook,English,1,
Negative,Say no to online classes. No online exam,#Examination issue due to poor  internet connectivity ,Facebook,English,1,
Negative,Sooner or later u will people will face the consequence of these steps....i am student of mathematics and its not possible to learn it online....,,Facebook,English,1,
Neutral,No Online Classes Without Resources ,#Resources Issue,Facebook,English,2,
Neutral,Promote kara do,,Facebook,Mix(English+Roman Urdu),2,
Negative," Promote university students
",,Facebook,English,1,
Negative,This issue of online classes should be taken to the High Court,,Facebook,English,1,
Negative,"What about those students who belongs to the low backward areas where internet services doesn't working
How they can join online classes.",#Internet Issue,Facebook,English,1,
Negative," For the first time in our life, we can notice a renowned educational institute of KPK ""The University of Peshawar"" has failed in arranging classes (online classes on a proper platform) so arranging examinations without any deliberation. The university should not lay the rubble of its failures on the poor students.
It's a very unfair decision and mismanagement of the University announcing examinations just one week before, without declaring any prior details of date sheet, course code or examination chart... The teachers have no information, similarly, there are no precise details on the UOP website related to exam structure.
Every now and then we are hearing on news channels that examinations are postponed. Half of the remote region's students have internet issues. I don't realize if the university management is sleeping Or dreaming!!!
Our teacher's faculty should be concerned with this issue. We expect  that they will put forward this issue soon to clear out the confusions of our students Thanks...","#Internet Issue
#Examination issue due to poor  internet connectivity ",Facebook,English,1,
Negative,What the tribal area people doing there is no facility of internet service,#Internet Issue,Facebook,English,1,
Negative,"Shame on HEC
",,Facebook,English,1,
Negative, Refund Semester Fee relaxations and hostel dues shame on University mangment,#Semester Fee relaxation Issues,Facebook,English,1,
Negative,"Sharm ki baat ha Afsos many students live in backward area where there is poor internet connection in Tower there is no 3G,4G connection they face a lot of difficulties. we reject online classes they are not good for students.",#Internet Issue,Facebook,Mix(English+Roman Urdu),1,
Neutral,"yr ma ny to boht bar HEC k messenger pr ye messages keye ke online classes tek nhi firstly internet ka problem ha aur dosre baat online classes ki koye student ko samj nhi Ati.. aur PTA k website py B complaints keye ki hamry area ma strong 3g,4g boosters lagao zong k laken koye nhi sunta. bs ALLAH khair kry.",#Internet Issue,Facebook,Mix(English+Roman Urdu),2,
Negative,Good decision but online classes aren't beneficial for everyone.Some students have good internet and some even don't have the internet.What will they do?,#Internet Issue,Facebook,English,1,
Negative, We ain't gonna pay the fees of this semester. If you are gonna continue these so called online classes you've to reduce our fees. no Semester Fee relaxations,#Semester Fee relaxation Issue,Facebook,English,1,
Negative,"A big question ,does the university IT DEPARTMENT have infrastructure and technical expertise?. Plus, the teaching faculty posess any computer literacy apart from CTRL+C and CTRL+V buttons?",#Computer Literacy Issue,Facebook,English,1,
Neutral,"what about those area where no internet connection ??

",#Internet Issue,Facebook,English,2,
Negative," I ACCEPT ONLINE CLASSES/DOWNLOADABLE MATERIAL/ETC. But kahan hy? Nothing has happened since I left 
the university mid march. I am sitting idle at my home with absolutely no engagement from the university. I 
have already paid my annual fee. Is that the reason, the faculty is only focusing on Semester students? So that 
they keep paying them tution fees and neglecting us annual students? What a sh*tty backward system",,Facebook,Mix(English+Roman Urdu),1,
Negative,Where is no internet connection how can gives student online exam and how can attempt online class,#Internet Issue,Facebook,English,1,
Negative,"A good day to beguile students future by just uploading a 144bps vedios from YouTube, which could be very
 easy if we watched it on our own. If this is the infrastructure of our IT department surely its just collapsed in 
the mean time. Totally it is intimidation and extortion.",,Facebook,English,1,
Negative,only one requisition we_boycott_online_classes ,,Facebook,English,1,
Negative," Most of students are belongs with remote ,tribal and rural areas, there are lack of internet network. I don't
 know how they could joint you in online classes, I think it's not enough that you have issued a notification. At least 3G/4G networks is required to use an  internet. therefore University Management must push the government to facilitate the students during this #COVID-19 outbreak. Otherwise students will be deprived form classes and you will be deprived from  Semester Fee relaxations....
","#Internet Issue
#Semester Fee relaxation Issue",Facebook,English,1,
Positive, Online classes are not beneficial for each and everyone students,,Facebook,English,3,
Negative,I like online classes it's very nice and beautiful . I like it very much .,,Facebook,English,1,
Negative,"A big question, does the university IT DEPARTMENT have infrastructure and technical expertise to facilitate the students..? Plus, the teaching faculty posess any computer literacy apart from CTRL+C and CTRL+V buttons?(Copy Paste System) The sitting authority must not be kidding with students future,
They must think about backward areas students and middle class students bcoz they don't afford and have internet facilities, they are just playing with our future they don't care about student,
They only care about Semester Fee relaxation..they have nothing with our studies, Its all game for the Semester Fee relaxations, After the Submission of fee there will be no Exams, everyone will be promoted.","#Internet Issue
#Internet Data Package Issue",Facebook,English,1,
Negative,"We reject #online classes, because there is no facilities of internet for the students of remote areas specially","#Internet Issue
",Facebook,English,1,
Negative,Online classes giving us Zero education.,,Facebook,English,1,
